paper_id,person_id,position
"virtual-statistics-knowledge-graph-generation-from-csv-files-6th-international-workshop-on-semantic-statistics-co-located-with-the-17th-international-semantic-web-conference-2018","david-chaves-fraga",1
"virtual-statistics-knowledge-graph-generation-from-csv-files-6th-international-workshop-on-semantic-statistics-co-located-with-the-17th-international-semantic-web-conference-2018","oscar-corcho",4
"virtual-statistics-knowledge-graph-generation-from-csv-files-6th-international-workshop-on-semantic-statistics-co-located-with-the-17th-international-semantic-web-conference-2018","freddy-priyatna",2
"virtual-statistics-knowledge-graph-generation-from-csv-files-6th-international-workshop-on-semantic-statistics-co-located-with-the-17th-international-semantic-web-conference-2018","idafen-perez-santana",3
"formalisation-and-experiences-of-r2rml-based-sparql-to-sql-query-translation-using-morph-23rd-international-world-wide-web-conference-2014","freddy-priyatna",2
"formalisation-and-experiences-of-r2rml-based-sparql-to-sql-query-translation-using-morph-23rd-international-world-wide-web-conference-2014","oscar-corcho",1
"formalisation-and-experiences-of-r2rml-based-sparql-to-sql-query-translation-using-morph-23rd-international-world-wide-web-conference-2014","juan-sequeda",3
"morph-graphql-graphql-server-generation-from-r2rml-mappings-the-31st-international-conference-on-software-engineering-and-knowledge-engineering-2019","david-chaves-fraga",2
"morph-graphql-graphql-server-generation-from-r2rml-mappings-the-31st-international-conference-on-software-engineering-and-knowledge-engineering-2019","oscar-corcho",4
"morph-graphql-graphql-server-generation-from-r2rml-mappings-the-31st-international-conference-on-software-engineering-and-knowledge-engineering-2019","freddy-priyatna",1
"morph-graphql-graphql-server-generation-from-r2rml-mappings-the-31st-international-conference-on-software-engineering-and-knowledge-engineering-2019","ahmad-alobaid",3
"exploiting-declarative-mapping-rules-for-generating-graphql-servers-with-morph-graphql-international-journal-of-software-engineering-and-knowledge-enginerring-2019","david-chaves-fraga",1
"exploiting-declarative-mapping-rules-for-generating-graphql-servers-with-morph-graphql-international-journal-of-software-engineering-and-knowledge-enginerring-2019","freddy-priyatna",2
"exploiting-declarative-mapping-rules-for-generating-graphql-servers-with-morph-graphql-international-journal-of-software-engineering-and-knowledge-enginerring-2019","ahmad-alobaid",3
"exploiting-declarative-mapping-rules-for-generating-graphql-servers-with-morph-graphql-international-journal-of-software-engineering-and-knowledge-enginerring-2019","oscar-corcho",4
"enhancing-the-maintainability-of-the-bio2rdf-project-using-declarative-mappings-12th-international-swat4hcls-conference-2019","ana-iglesias-molina",1
"enhancing-the-maintainability-of-the-bio2rdf-project-using-declarative-mappings-12th-international-swat4hcls-conference-2019","david-chaves-fraga",2
"enhancing-the-maintainability-of-the-bio2rdf-project-using-declarative-mappings-12th-international-swat4hcls-conference-2019","freddy-priyatna",3
"enhancing-the-maintainability-of-the-bio2rdf-project-using-declarative-mappings-12th-international-swat4hcls-conference-2019","oscar-corcho",4
"towards-a-new-generation-of-ontology-based-data-access-semantic-web-journal-2020","oscar-corcho",1
"towards-a-new-generation-of-ontology-based-data-access-semantic-web-journal-2020","freddy-priyatna",2
"towards-a-new-generation-of-ontology-based-data-access-semantic-web-journal-2020","david-chaves-fraga",3
"enhancing-obda-query-translation-over-tabular-data-with-morph-csv-pre-print-2020","david-chaves-fraga",1
"enhancing-obda-query-translation-over-tabular-data-with-morph-csv-pre-print-2020","edna-ruckhaus",2
"enhancing-obda-query-translation-over-tabular-data-with-morph-csv-pre-print-2020","freddy-priyatna",3
"enhancing-obda-query-translation-over-tabular-data-with-morph-csv-pre-print-2020","maria-esther-vidal",4
"enhancing-obda-query-translation-over-tabular-data-with-morph-csv-pre-print-2020","oscar-corcho",5
"towards-the-definition-of-a-language-independent-mapping-template-for-knowledge-graph-creation","ana-iglesias-molina",1
"towards-the-definition-of-a-language-independent-mapping-template-for-knowledge-graph-creation","david-chaves-fraga",2
"towards-the-definition-of-a-language-independent-mapping-template-for-knowledge-graph-creation","freddy-priyatna",3
"towards-the-definition-of-a-language-independent-mapping-template-for-knowledge-graph-creation","oscar-corcho",4
