"Dataset","Number of the triple","Time"
"result","1","1.7711389064788818"
"result","2","1.7714228630065918"
"result","3","1.7714524269104004"
"result","4","1.771751880645752"
"result","5","1.771785020828247"
"result","6","1.7717926502227783"
"result","7","1.7717969417572021"
"result","8","1.7718024253845215"
"result","9","1.7718257904052734"
"result","10","1.771831750869751"
"result","11","1.7718355655670166"
"result","12","1.7718408107757568"
"result","13","1.7718706130981445"
"result","14","1.7718791961669922"
"result","15","1.7718846797943115"
"result","16","1.7718923091888428"
"result","17","1.771977186203003"
"result","18","1.7719850540161133"
"result","19","1.771988868713379"
"result","20","1.771993637084961"
"result","21","1.7720389366149902"
"result","22","1.7720611095428467"
"result","23","1.772066354751587"
"result","24","1.772087812423706"
"result","25","1.7721278667449951"
"result","26","1.7721338272094727"
"result","27","1.77213716506958"
"result","28","1.772141456604004"
"result","29","1.772179126739502"
"result","30","1.7721843719482422"
"result","31","1.7721879482269287"
"result","32","1.7721924781799316"
"result","33","1.7722129821777344"
"result","34","1.7722179889678955"
"result","35","1.772221326828003"
"result","36","1.772226095199585"
"result","37","1.7722458839416504"
"result","38","1.7722516059875488"
"result","39","1.7722549438476562"
"result","40","1.7722594738006592"
"result","41","1.7722804546356201"
"result","42","1.7722856998443604"
"result","43","1.7722887992858887"
"result","44","1.7722938060760498"
"result","45","1.772674560546875"
"result","46","1.7727746963500977"
"result","47","1.77278470993042"
"result","48","1.7732551097869873"
"result","49","1.7732629776000977"
"result","50","1.7735459804534912"
"result","51","1.7735874652862549"
"result","52","1.7735934257507324"
"result","53","1.77359938621521"
"result","54","1.7739548683166504"
"result","55","1.773963212966919"
"result","56","1.773970127105713"
"result","57","1.7739944458007812"
"result","58","1.7739994525909424"
"result","59","1.7740049362182617"
"result","60","1.7740254402160645"
"result","61","1.7740294933319092"
"result","62","1.7740802764892578"
"result","63","1.7741215229034424"
"result","64","1.7741258144378662"
"result","65","1.7741639614105225"
"result","66","1.7741882801055908"
"result","67","1.7741925716400146"
"result","68","1.7741973400115967"
"result","69","1.7742159366607666"
"result","70","1.7742199897766113"
"result","71","1.7742245197296143"
"result","72","1.7746164798736572"
"result","73","1.7746319770812988"
"result","74","1.7746436595916748"
"result","75","1.7746696472167969"
"result","76","1.7747128009796143"
"result","77","1.7747209072113037"
"result","78","1.7747306823730469"
"result","79","1.774749994277954"
"result","80","1.7747814655303955"
"result","81","1.7747864723205566"
"result","82","1.774791955947876"
"result","83","1.7748026847839355"
"result","84","1.7748236656188965"
"result","85","1.7748277187347412"
"result","86","1.7748329639434814"
"result","87","1.774841547012329"
"result","88","1.7748608589172363"
"result","89","1.7748653888702393"
"result","90","1.7748699188232422"
"result","91","1.774878740310669"
"result","92","1.7748973369598389"
"result","93","1.7749011516571045"
"result","94","1.7749066352844238"
"result","95","1.7749152183532715"
"result","96","1.7749338150024414"
"result","97","1.7749378681182861"
"result","98","1.774942398071289"
"result","99","1.7749509811401367"
"result","100","1.7749688625335693"
"result","101","1.7749733924865723"
"result","102","1.7749783992767334"
"result","103","1.7749872207641602"
"result","104","1.7753865718841553"
"result","105","1.775404930114746"
"result","106","1.7754182815551758"
"result","107","1.7754485607147217"
"result","108","1.7754616737365723"
"result","109","1.7754707336425781"
"result","110","1.775479793548584"
"result","111","1.775489091873169"
"result","112","1.7759270668029785"
"result","113","1.775942087173462"
"result","114","1.7760727405548096"
"result","115","1.7762694358825684"
"result","116","1.7762813568115234"
"result","117","1.7762908935546875"
"result","118","1.776322603225708"
"result","119","1.7763376235961914"
"result","120","1.776348352432251"
"result","121","1.7763614654541016"
"result","122","1.7763698101043701"
"result","123","1.7763783931732178"
"result","124","1.7763862609863281"
"result","125","1.7763948440551758"
"result","126","1.7764012813568115"
"result","127","1.7764043807983398"
"result","128","1.7764489650726318"
"result","129","1.7764573097229004"
"result","130","1.7764623165130615"
"result","131","1.776489496231079"
"result","132","1.7765004634857178"
"result","133","1.7765090465545654"
"result","134","1.7765171527862549"
"result","135","1.7765679359436035"
"result","136","1.7765812873840332"
"result","137","1.7765915393829346"
"result","138","1.7766046524047852"
"result","139","1.7766125202178955"
"result","140","1.7766211032867432"
"result","141","1.7766292095184326"
"result","142","1.7766427993774414"
"result","143","1.776651382446289"
"result","144","1.7766540050506592"
"result","145","1.7766680717468262"
"result","146","1.7766749858856201"
"result","147","1.7766783237457275"
"result","148","1.7766809463500977"
"result","149","1.7766900062561035"
"result","150","1.7766978740692139"
"result","151","1.7767057418823242"
"result","152","1.7767705917358398"
"result","153","1.7767846584320068"
"result","154","1.7768075466156006"
"result","155","1.7768168449401855"
"result","156","1.776824712753296"
"result","157","1.7768332958221436"
"result","158","1.776855707168579"
"result","159","1.7768583297729492"
"result","160","1.7768731117248535"
"result","161","1.7768759727478027"
"result","162","1.7768802642822266"
"result","163","1.7768828868865967"
"result","164","1.7768852710723877"
"result","165","1.7768933773040771"
"result","166","1.7769010066986084"
"result","167","1.7769310474395752"
"result","168","1.7769420146942139"
"result","169","1.7769627571105957"
"result","170","1.7769713401794434"
"result","171","1.7769789695739746"
"result","172","1.7769873142242432"
"result","173","1.7770040035247803"
"result","174","1.7770142555236816"
"result","175","1.777022123336792"
"result","176","1.7770531177520752"
"result","177","1.7770659923553467"
"result","178","1.7770862579345703"
"result","179","1.7770946025848389"
"result","180","1.7771024703979492"
"result","181","1.7771105766296387"
"result","182","1.777116060256958"
"result","183","1.777130365371704"
"result","184","1.7771353721618652"
"result","185","1.7771432399749756"
