"Dataset","Number of the triple","Time"
"result","1","3.0177183151245117"
"result","2","3.0177552700042725"
"result","3","3.0177788734436035"
"result","4","3.017796277999878"
"result","5","3.0178141593933105"
"result","6","3.017833709716797"
"result","7","3.0178537368774414"
"result","8","3.0196969509124756"
"result","9","3.019714832305908"
"result","10","3.0197200775146484"
"result","11","3.0197253227233887"
"result","12","3.0202219486236572"
"result","13","3.0212388038635254"
"result","14","3.0212554931640625"
"result","15","3.021271228790283"
"result","16","3.0212831497192383"
"result","17","3.0212972164154053"
"result","18","3.0213112831115723"
"result","19","3.0213232040405273"
"result","20","3.0213406085968018"
"result","21","3.021345376968384"
"result","22","3.0213496685028076"
"result","23","3.021582841873169"
"result","24","3.0216360092163086"
"result","25","3.0216431617736816"
"result","26","3.021658420562744"
"result","27","3.021669387817383"
"result","28","3.0216808319091797"
"result","29","3.0216941833496094"
"result","30","3.0217058658599854"
"result","31","3.0217196941375732"
"result","32","3.0217244625091553"
"result","33","3.021728754043579"
"result","34","3.021733045578003"
"result","35","3.0217437744140625"
"result","36","3.0217552185058594"
"result","37","3.0217983722686768"
"result","38","3.0218048095703125"
"result","39","3.021818161010742"
"result","40","3.02182936668396"
"result","41","3.021847724914551"
"result","42","3.0218591690063477"
"result","43","3.021872043609619"
"result","44","3.0218770503997803"
"result","45","3.021907329559326"
"result","46","3.021913766860962"
"result","47","3.0223350524902344"
"result","48","3.022343397140503"
"result","49","3.022361993789673"
"result","50","3.022381067276001"
"result","51","3.0223939418792725"
"result","52","3.022406816482544"
"result","53","3.0224180221557617"
"result","54","3.0224320888519287"
"result","55","3.0224368572235107"
"result","56","3.0224409103393555"
"result","57","3.0224449634552"
"result","58","3.0228240489959717"
"result","59","3.0228328704833984"
"result","60","3.0228464603424072"
"result","61","3.022857427597046"
"result","62","3.0228686332702637"
"result","63","3.022880792617798"
"result","64","3.0228917598724365"
"result","65","3.022904634475708"
"result","66","3.02290940284729"
"result","67","3.022913932800293"
"result","68","3.023372173309326"
"result","69","3.0233840942382812"
"result","70","3.0233991146087646"
"result","71","3.0234107971191406"
"result","72","3.0234227180480957"
"result","73","3.0234358310699463"
"result","74","3.023446798324585"
"result","75","3.0234880447387695"
"result","76","3.0234951972961426"
"result","77","3.0234992504119873"
"result","78","3.023503541946411"
"result","79","3.023507833480835"
"result","80","3.0236763954162598"
"result","81","3.023721933364868"
"result","82","3.023728609085083"
"result","83","3.0237419605255127"
"result","84","3.0237536430358887"
"result","85","3.0237650871276855"
"result","86","3.0237789154052734"
"result","87","3.0237996578216553"
"result","88","3.023812770843506"
"result","89","3.023818016052246"
"result","90","3.0238261222839355"
"result","91","3.0238330364227295"
"result","92","3.0240135192871094"
"result","93","3.02474045753479"
"result","94","3.024761438369751"
"result","95","3.024775505065918"
"result","96","3.0247879028320312"
"result","97","3.024801015853882"
"result","98","3.024807929992676"
"result","99","3.0249969959259033"
"result","100","3.0254855155944824"
"result","101","3.025493860244751"
"result","102","3.025498151779175"
"result","103","3.0255019664764404"
"result","104","3.025761127471924"
"result","105","3.02581524848938"
"result","106","3.0258326530456543"
"result","107","3.0258469581604004"
"result","108","3.0258612632751465"
"result","109","3.0259175300598145"
"result","110","3.0259265899658203"
"result","111","3.0260956287384033"
"result","112","3.026102066040039"
"result","113","3.026106357574463"
"result","114","3.026111125946045"
"result","115","3.0269787311553955"
"result","116","3.0273666381835938"
"result","117","3.0281779766082764"
"result","118","3.028228282928467"
"result","119","3.028249979019165"
"result","120","3.028268337249756"
"result","121","3.028313636779785"
"result","122","3.0283310413360596"
"result","123","3.0283474922180176"
"result","124","3.0283899307250977"
"result","125","3.0284039974212646"
"result","126","3.0284154415130615"
"result","127","3.0284500122070312"
"result","128","3.028461217880249"
"result","129","3.0284712314605713"
"result","130","3.0285065174102783"
"result","131","3.028522253036499"
"result","132","3.028538703918457"
"result","133","3.028567314147949"
"result","134","3.028578042984009"
"result","135","3.0285890102386475"
"result","136","3.0286126136779785"
"result","137","3.0286238193511963"
"result","138","3.0286335945129395"
"result","139","3.0286571979522705"
"result","140","3.028667688369751"
"result","141","3.028677463531494"
"result","142","3.028700590133667"
"result","143","3.0287108421325684"
"result","144","3.0287208557128906"
"result","145","3.0287442207336426"
"result","146","3.028754472732544"
"result","147","3.028764486312866"
"result","148","3.0292882919311523"
"result","149","3.0293288230895996"
"result","150","3.029625654220581"
"result","151","3.0296525955200195"
"result","152","3.0297036170959473"
"result","153","3.0297303199768066"
"result","154","3.029750108718872"
"result","155","3.0297679901123047"
"result","156","3.029805898666382"
"result","157","3.0298643112182617"
"result","158","3.029879093170166"
"result","159","3.029890537261963"
"result","160","3.02992844581604"
"result","161","3.02994966506958"
"result","162","3.0299665927886963"
"result","163","3.0299839973449707"
"result","164","3.030014991760254"
