"Dataset","Number of the triple","Time"
"result","1","2.3175251483917236"
"result","2","2.3176493644714355"
"result","3","2.317657947540283"
"result","4","2.318160057067871"
"result","5","2.3181703090667725"
"result","6","2.3184456825256348"
"result","7","2.3184754848480225"
"result","8","2.3184814453125"
"result","9","2.318488359451294"
"result","10","2.318511486053467"
"result","11","2.318516731262207"
"result","12","2.3185222148895264"
"result","13","2.3185436725616455"
"result","14","2.3185484409332275"
"result","15","2.3185536861419678"
"result","16","2.3185746669769287"
"result","17","2.318579912185669"
"result","18","2.3185853958129883"
"result","19","2.318605899810791"
"result","20","2.318610429763794"
"result","21","2.318615436553955"
"result","22","2.3186357021331787"
"result","23","2.3186404705047607"
"result","24","2.318645477294922"
"result","25","2.3186659812927246"
"result","26","2.318671941757202"
"result","27","2.3186771869659424"
"result","28","2.3193719387054443"
"result","29","2.3193812370300293"
"result","30","2.319486141204834"
"result","31","2.3197102546691895"
"result","32","2.3197154998779297"
"result","33","2.319718599319458"
"result","34","2.3197221755981445"
"result","35","2.319735288619995"
"result","36","2.319836378097534"
"result","37","2.3198516368865967"
"result","38","2.3198795318603516"
"result","39","2.319884777069092"
"result","40","2.319899559020996"
"result","41","2.3199028968811035"
"result","42","2.319905996322632"
"result","43","2.319908857345581"
"result","44","2.319918632507324"
"result","45","2.3199305534362793"
"result","46","2.3203392028808594"
"result","47","2.3203561305999756"
"result","48","2.320362091064453"
"result","49","2.3203725814819336"
"result","50","2.320383071899414"
"result","51","2.3203928470611572"
"result","52","2.3207740783691406"
"result","53","2.320788621902466"
"result","54","2.32080078125"
"result","55","2.3208279609680176"
"result","56","2.3208377361297607"
"result","57","2.320844888687134"
"result","58","2.3208484649658203"
"result","59","2.320852756500244"
"result","60","2.3208556175231934"
"result","61","2.3210175037384033"
"result","62","2.3210558891296387"
"result","63","2.3210668563842773"
"result","64","2.3210713863372803"
"result","65","2.3210856914520264"
"result","66","2.3210995197296143"
"result","67","2.3211069107055664"
"result","68","2.321110725402832"
"result","69","2.321122646331787"
"result","70","2.3211328983306885"
"result","71","2.3211421966552734"
"result","72","2.3211514949798584"
"result","73","2.3211607933044434"
"result","74","2.3211669921875"
"result","75","2.3211703300476074"
"result","76","2.3212156295776367"
"result","77","2.321223735809326"
"result","78","2.321234703063965"
"result","79","2.321291923522949"
"result","80","2.3213117122650146"
"result","81","2.3213205337524414"
"result","82","2.3213467597961426"
"result","83","2.3213706016540527"
"result","84","2.3213820457458496"
"result","85","2.3213858604431152"
"result","86","2.3213889598846436"
"result","87","2.321403980255127"
"result","88","2.3214216232299805"
"result","89","2.3214399814605713"
"result","90","2.321458339691162"
"result","91","2.321476459503174"
"result","92","2.321547269821167"
"result","93","2.3215644359588623"
"result","94","2.3215863704681396"
"result","95","2.321598529815674"
"result","96","2.3216042518615723"
"result","97","2.3216092586517334"
"result","98","2.321652412414551"
"result","99","2.3216700553894043"
"result","100","2.3216865062713623"
"result","101","2.321702241897583"
"result","102","2.3217084407806396"
"result","103","2.3217568397521973"
"result","104","2.321772336959839"
"result","105","2.3217835426330566"
"result","106","2.3218095302581787"
"result","107","2.32181978225708"
"result","108","2.321828842163086"
"result","109","2.3218376636505127"
"result","110","2.3218724727630615"
"result","111","2.3218863010406494"
"result","112","2.321899175643921"
"result","113","2.3219058513641357"
"result","114","2.321928024291992"
"result","115","2.321937322616577"
"result","116","2.321946620941162"
"result","117","2.3219552040100098"
"result","118","2.3219845294952393"
"result","119","2.3219945430755615"
"result","120","2.3219985961914062"
"result","121","2.322011947631836"
"result","122","2.322023630142212"
"result","123","2.322037935256958"
"result","124","2.3220479488372803"
"result","125","2.322056531906128"
"result","126","2.3220653533935547"
"result","127","2.3220748901367188"
"result","128","2.322108268737793"
"result","129","2.322127103805542"
"result","130","2.3221559524536133"
"result","131","2.322188377380371"
"result","132","2.322214126586914"
"result","133","2.3222434520721436"
"result","134","2.322795867919922"
"result","135","2.3229405879974365"
"result","136","2.3229498863220215"
"result","137","2.3234124183654785"
"result","138","2.3234221935272217"
"result","139","2.323439836502075"
"result","140","2.3238024711608887"
"result","141","2.323814630508423"
"result","142","2.323852062225342"
"result","143","2.3238580226898193"
"result","144","2.3238654136657715"
"result","145","2.3239030838012695"
"result","146","2.3239190578460693"
"result","147","2.3239269256591797"
"result","148","2.3239364624023438"
"result","149","2.323971748352051"
"result","150","2.323976993560791"
"result","151","2.323983669281006"
"result","152","2.323986530303955"
"result","153","2.3239893913269043"
"result","154","2.3239998817443848"
"result","155","2.324007034301758"
"result","156","2.3240158557891846"
"result","157","2.324399709701538"
"result","158","2.324411630630493"
"result","159","2.3244197368621826"
"result","160","2.324445962905884"
"result","161","2.324453115463257"
"result","162","2.3244597911834717"
"result","163","2.3244824409484863"
"result","164","2.324489116668701"
"result","165","2.3244948387145996"
"result","166","2.3245153427124023"
"result","167","2.324521541595459"
"result","168","2.3245272636413574"
"result","169","2.324547052383423"
"result","170","2.3245532512664795"
"result","171","2.324559450149536"
"result","172","2.3245785236358643"
"result","173","2.324584722518921"
"result","174","2.3246078491210938"
"result","175","2.32463002204895"
"result","176","2.324636459350586"
"result","177","2.3246421813964844"
"result","178","2.3246614933013916"
"result","179","2.3246684074401855"
"result","180","2.324673891067505"
"result","181","2.3246936798095703"
"result","182","2.324699878692627"
"result","183","2.3247056007385254"
"result","184","2.3247251510620117"
"result","185","2.3247313499450684"
"result","186","2.324737071990967"
"result","187","2.3247556686401367"
"result","188","2.3247618675231934"
"result","189","2.3247673511505127"
"result","190","2.325364828109741"
"result","191","2.3253774642944336"
"result","192","2.3253862857818604"
"result","193","2.3254125118255615"
"result","194","2.3254199028015137"
"result","195","2.325425863265991"
"result","196","2.3254504203796387"
"result","197","2.325457811355591"
"result","198","2.3254635334014893"
"result","199","2.325484275817871"
"result","200","2.325491189956665"
"result","201","2.3254964351654053"
"result","202","2.325517177581787"
"result","203","2.325523614883423"
"result","204","2.3255293369293213"
"result","205","2.3255481719970703"
"result","206","2.325554847717285"
"result","207","2.3255603313446045"
"result","208","2.3260135650634766"
"result","209","2.3260271549224854"
"result","210","2.3260350227355957"
"result","211","2.3260462284088135"
"result","212","2.326056957244873"
"result","213","2.326063394546509"
"result","214","2.32607364654541"
"result","215","2.326083183288574"
"result","216","2.3260908126831055"
"result","217","2.3261170387268066"
"result","218","2.326127767562866"
"result","219","2.326136350631714"
"result","220","2.326204299926758"
"result","221","2.326221466064453"
"result","222","2.326225996017456"
"result","223","2.3262360095977783"
"result","224","2.326245069503784"
"result","225","2.3262531757354736"
"result","226","2.3262808322906494"
"result","227","2.326291561126709"
"result","228","2.3263401985168457"
"result","229","2.3263542652130127"
"result","230","2.326364278793335"
"result","231","2.3263683319091797"
"result","232","2.3263778686523438"
"result","233","2.3263869285583496"
"result","234","2.3267769813537598"
"result","235","2.3267953395843506"
"result","236","2.3268096446990967"
"result","237","2.326847791671753"
"result","238","2.3268609046936035"
"result","239","2.3268723487854004"
